Tickers;Sector
ALSEA* MM Equity;Consumer Discretionary
CORFICOL CB Equity;Financials
ECOPETL CB Equity;Energy
ASURB MM Equity;Industrials
ANTAR CI Equity;Industrials
COLBUN CI Equity;Utilities
TTEN3 BZ Equity;Consumer Staples
BBAJIOO MM Equity;Financials
FRAS3 BZ Equity;Consumer Discretionary
LACOMUBC MM Equity;Consumer Staples
ONCO3 BZ Equity;Health Care
COPEC CI Equity;Consumer Discretionary
DEXP3 BZ Equity;Materials
PRNR3 BZ Equity;Industrials
ENGIEC1 PE Equity;Utilities
UNACEMC1 PE Equity;Materials
AC* MM Equity;Consumer Staples
LREN3 BZ Equity;Consumer Discretionary
KEPL3 BZ Equity;Industrials
BOLSAA MM Equity;Financials
LIGT3 BZ Equity;Utilities
BLAU3 BZ Equity;Health Care
CMIN3 BZ Equity;Materials
CEMARGOS CB Equity;Materials
BBSE3 BZ Equity;Financials
SAUD3 BZ Equity;Health Care
DMVF3 BZ Equity;Consumer Staples
Q* MM Equity;Financials
RADL3 BZ Equity;Consumer Staples
BHIA3 BZ Equity;Consumer Discretionary
BIMBOA MM Equity;Consumer Staples
VESTA* MM Equity;Real Estate
PETZ3 BZ Equity;Consumer Discretionary
VAPORES CI Equity;Industrials
ENELAM CI Equity;Utilities
CMRB MM Equity;Consumer Discretionary
WALMEX* MM Equity;Consumer Staples
SCAR3 BZ Equity;Real Estate
CCU CI Equity;Consumer Staples
TPIS3 BZ Equity;Industrials
ORBIA* MM Equity;Materials
WATTS CI Equity;Consumer Staples
GCARSOA1 MM Equity;Industrials
PRIO3 BZ Equity;Energy
GFINBURO MM Equity;Financials
LJQQ3 BZ Equity;Consumer Discretionary
VOLARA MM Equity;Industrials
ENJU3 BZ Equity;Communication Services
SMU CI Equity;Consumer Staples
INTB3 BZ Equity;Information Technology
ROMI3 BZ Equity;Industrials
CSNA3 BZ Equity;Materials
VLID3 BZ Equity;Industrials
CHDRAUIB MM Equity;Consumer Staples
AMAR3 BZ Equity;Consumer Discretionary
CAML3 BZ Equity;Consumer Staples
SLCE3 BZ Equity;Consumer Staples
GCC* MM Equity;Materials
SONDA CI Equity;Information Technology
CONCHA CI Equity;Consumer Staples
WEGE3 BZ Equity;Industrials
GRUMAB MM Equity;Consumer Staples
SOJA3 BZ Equity;Consumer Staples
BBAS3 BZ Equity;Financials
POMALCC1 PE Equity;Consumer Staples
ARML3 BZ Equity;Industrials
DXCO3 BZ Equity;Materials
AZZA3 BZ Equity;Consumer Discretionary
AGRO3 BZ Equity;Consumer Staples
MYPK3 BZ Equity;Consumer Discretionary
CMPC CI Equity;Materials
LAMOSA* MM Equity;Industrials
CONCONC CB Equity;Industrials
CUERVO* MM Equity;Consumer Staples
RAIL3 BZ Equity;Industrials
SHOW3 BZ Equity;Communication Services
PTBL3 BZ Equity;Industrials
GRUPOARG CB Equity;Materials
SUZB3 BZ Equity;Materials
LUPA3 BZ Equity;Energy
GISSAA MM Equity;Consumer Discretionary
AMER3 BZ Equity;Consumer Discretionary
PMAM3 BZ Equity;Materials
ETER3 BZ Equity;Materials
POSI3 BZ Equity;Information Technology
TRAXIONA MM Equity;Industrials
AGUA* MM Equity;Industrials
INVCENC1 PE Equity;Real Estate
CGE CI Equity;Utilities
RECV3 BZ Equity;Energy
LABB MM Equity;Health Care
GMAT3 BZ Equity;Consumer Staples
ENJOY CI Equity;Consumer Discretionary
AENZAC1 PE Equity;Industrials
BRAV3 BZ Equity;Energy
ALPEKA MM Equity;Materials
VAMO3 BZ Equity;Industrials
VVEO3 BZ Equity;Health Care
SMTO3 BZ Equity;Consumer Staples
ELCOMEI1 PE Equity;Communication Services
CSAN3 BZ Equity;Consumer Discretionary
ETB CB Equity;Communication Services
LAND3 BZ Equity;Real Estate
JALL3 BZ Equity;Consumer Staples
AALR3 BZ Equity;Health Care
NATU3 BZ Equity;Consumer Staples
TUPY3 BZ Equity;Industrials
TOKY3 BZ Equity;Consumer Discretionary
INTPEBC1 PE Equity;Communication Services
HAPV3 BZ Equity;Health Care
GFSA3 BZ Equity;Consumer Discretionary
SEQL3 BZ Equity;Industrials
IFCM3 BZ Equity;Industrials
AMBP3 BZ Equity;Industrials
POPULA CB Equity;Financials
HIDROSI1 PE Equity;Industrials
ESTRA CB Equity;Consumer Discretionary
ELCONDOR CB Equity;Industrials
B1003 BZ Equity;Financials
OBTC3 BZ Equity;Consumer Discretionary
BAP US Equity;Financials
 IFS US Equity;Financials
 BVN US Equity;Materials
 NU US Equity;Financials
 STNE US Equity;Financials
 PAGS US Equity;Financials
 XP US Equity;Financials
